呱呱叫	gua1'gua1'jiao4
管家婆	guan3'jia1'po2
灌顶	guan4'ding3
过劲儿	guo4'jin4'er2
过礼	guo4'li3
过堂	guo4'tang2
行距	hang2'ju4
合二而一	he2'er4'er2'yi1
横向联合	heng2'xiang4'lian2'he2
后嗣	hou4'si4
花镜	hua1'jing4
划不来	hua2'bu'lai2
华盖	hua2'gai4
还政	hai2'zheng4
徽号	hui1'hao4
回肠荡气	hui2'chang2'dang4'qi4
回音壁	hui2'yin1'bi4
机械师	ji1'xie4'shi1
佳境	jia1'jing4
艰涩	jian1'se4
交班	jiao1'ban1
接合	jie1'he2
纠结	jiu1'jie2
就手	jiu4'shou3
居留证	ju1'liu2'zheng4
举不胜举	ju3'bu4'sheng4'ju3
踽踽	ju3'ju3
菌落	jun1'luo4
刊印	kan1'yin4
口试	kou3'shi4
老成持重	lao3'cheng2'chi2'zhong4
老泪	lao3'lei4
老寿星	lao3'shou4'xing1
老死不相往来	lao3'si3'bu4'xiang1'wang3'lai2
冷言冷语	leng3'yan2'leng3'yu3
理发馆	li3'fa4'guan3
量体裁衣	liang4'ti3'cai2'yi1
溜圆	liu1'yuan2
六甲	liu4'jia3
龙飞凤舞	long2'fei1'feng4'wu3
龙套	long2'tao4
芦荟	lu2'hui4
罗非鱼	luo2'fei1'yu2
马蜂窝	ma3'feng1'wo1
满门	man3'men2
芒刺	mang2'ci4
媚笑	mei4'xiao4
乜斜	mie1'xie
母老虎	mu3'lao3'hu3
木棉	mu4'mian2
念白	nian4'bai2
念旧	nian4'jiu4
鸟枪	niao3'qiang1
攀附	pan1'fu4
攀亲	pan1'qin1
炮舰	pao4'jian4
陪都	pei2'du1
篷船	peng2'chuan2
披甲	pi1'jia3
平叛	ping2'pan4
脯子	pu2'zi
奇丽	qi2'li4
签押	qian1'ya1
纤手	qian4'shou3
枪眼	qiang1'yan3
巧取	qiao3'qu3
青光眼	qing1'guang1'yan3
情景交融	qing2'jing3'jiao1'rong2
情种	qing2'zhong3
秋意	qiu1'yi4
缺货	que1'huo4
让贤	rang4'xian2
绕圈子	rao4'quan1'zi
入骨	ru4'gu3
锐角	rui4'jiao3
散席	san4'xi2
丧服	sang1'fu2
丧尽天良	sang4'jin4'tian1'liang2
杀人不眨眼	sha1'ren2'bu4'zha3'yan3
深居简出	shen1'ju1'jian3'chu1
声东击西	sheng1'dong1'ji1'xi1
时宜	shi2'yi2
试航	shi4'hang2
收银员	shou1'yin2'yuan2
手令	shou3'ling4
寿山石	shou4'shan1'shi2
鼠窜	shu3'cuan4
束腰	shu4'yao1
水蜜桃	shui3'mi4'tao2
