短工	duan3'gong1
堕胎	duo4'tai1
发痴	fa1'chi1
返老还童	fan3'lao3'huan2'tong2
防身	fang2'shen1
房源	fang2'yuan2
飞轮	fei1'lun2
非分	fei1'fen4
负离子	fu4'li2'zi3
复工	fu4'gong1
复旧	fu4'jiu4
改天换地	gai3'tian1'huan4'di4
改邪归正	gai3'xie2'gui1'zheng4
概要	gai4'yao4
杠铃	gang4'ling2
隔夜	ge2'ye4
公交车	gong1'jiao1'che1
古已有之	gu3'yi3'you3'zhi1
观礼	guan1'li3
诡异	gui3'yi4
河心	he2'xin1
和诗	he4'shi1
横祸	heng4'huo4
滑轮	hua2'lun2
桦树	hua4'shu4
幻灯	huan4'deng1
荒郊	huang1'jiao1
饥馑	ji1'jin3
急不可耐	ji2'bu4'ke3'nai4
疾风	ji2'feng1
嫉恨	ji2'hen4
家长制	jia1'zhang3'zhi4
讲习	jiang3'xi2
娇美	jiao1'mei3
敬慕	jing4'mu4
旧闻	jiu4'wen2
居所	ju1'suo3
捐税	juan1'shui4
娟秀	juan1'xiu4
军转民	jun1'zhuan3'min2
菌类	jun1'lei4
柯尔克孜族	ke1'er3'ke4'zi1'zu2
刻制	ke4'zhi4
刻字	ke4'zi4
哭丧	ku1'sang1
苦思	ku3'si1
雷公	lei2'gong1
利令智昏	li4'ling4'zhi4'hun1
两败俱伤	liang3'bai4'ju4'shang1
领唱	ling3'chang4
轮作	lun2'zuo4
马蜂	ma3'feng1
卖老	mai4'lao3
忙人	mang2'ren2
煤灰	mei2'hui1
煤气罐	mei2'qi4'guan4
末班车	mo4'ban1'che1
泥瓦匠	ni2'wa3'jiang4
年轻气盛	nian2'qing1'qi4'sheng4
尿液	niao4'ye4
喷吐	pen1'tu3
气人	qi4'ren2
钳制	qian2'zhi4
切削	qie1'xiao1
清癯	qing1'qu2
趋避	qu1'bi4
入魔	ru4'mo2
软组织	ruan3'zu3'zhi1
山药	shan1'yao4
