主权国	zhu3'quan2'guo2
主责	zhu3'ze2
抓壮丁	zhua1'zhuang4'ding1
专才	zhuan1'cai2
专差	zhuan1'chai1
装裹	zhuang1'guo3
酌减	zhuo2'jian3
自相鱼肉	zi4'xiang1'yu2'rou4
棕树	zong1'shu4
总务长	zong3'wu4'zhang3
走避	zou3'bi4
走棋	zou3'qi2
租种	zu1'zhong3
组雕	zu3'diao1
钻床	zuan4'chuang2
钻台	zuan4'tai2
嘴严	zui3'yan2
哀兵必胜	ai1'bing1'bi4'sheng4
矮墩墩	ai3'dun1'dun1
安步当车	an1'bu4'dang4'che1
暗补	an4'bu3
澳抗	ao4'kang4
八卦掌	ba1'gua4'zhang3
拔锚	ba2'mao2
坝基	ba4'ji1
白矾	bai2'fan2
白汤	bai2'tang1
摆件	bai3'jian4
败象	bai4'xiang4
扳道	ban1'dao4
扳子	ban1'zi
办罪	ban4'zui4
包身工	bao1'shen1'gong1
保险灯	bao3'xian3'deng1
