采茶戏	cai3'cha2'xi4
采择	cai3'ze2
蚕子	can2'zi3
草垫子	cao3'dian4'zi
柴鸡	chai2'ji1
馋猫	chan2'mao1
厂纪	chang3'ji4
唱诗班	chang4'shi1'ban1
车份儿	che1'fen4'er
成寐	cheng2'mei4
吃荤	chi1'hun1
驰誉	chi2'yu4
重温旧梦	chong2'wen1'jiu4'meng4
愁人	chou2'ren2
筹商	chou2'shang1
出气筒	chu1'qi4'tong3
出赛	chu1'sai4
触类旁通	chu4'lei4'pang2'tong1
传译	chuan2'yi4
床子	chuang2'zi3
捶击	chui2'ji1
次等	ci4'deng3
刺字	ci4'zi4
粗哑	cu1'ya3
矬子	cuo2'zi3
打拱	da3'gong3
打击乐器	da3'ji1'yue4'qi4
大端	da4'duan1
待建	dai4'jian4
单弱	dan1'ruo4
单行线	dan1'xing2'xian4
弹痕	dan4'hen2
刀马旦	dao1'ma3'dan4
电瓶车	dian4'ping2'che1
垫肩	dian4'jian1
奠基石	dian4'ji1'shi2
顶呱呱	ding3'gua1'gua1
顶针	ding3'zhen1
冬烘	dong1'hong1
笃实	du3'shi2
踱方步	duo2'fang1'bu4
发糕	fa1'gao1
发困	fa1'kun4
发薪	fa1'xin1
反方	fan3'fang1
反骨	fan3'gu3
放虎归山	fang4'hu3'gui1'shan1
飞来横祸	fei1'lai2'heng4'huo4
风吹雨淋	feng1'chui1'yu3'lin2
伏旱	fu2'han4
负荆请罪	fu4'jing1'qing3'zui4
复壮	fu4'zhuang4
干呕	gan1'ou3
赶不及	gan3'bu'ji2
钢印	gang1'yin4
高保真	gao1'bao3'zhen1
高甲戏	gao1'jia3'xi4
耿介	geng3'jie4
共和制	gong4'he2'zhi4
勾销	gou1'xiao1
够瞧的	gou4'qiao2'de
孤悬	gu1'xuan2
姑表	gu1'biao3
挂花	gua4'hua1
拐带	guai3'dai4
闺门	gui1'men2
果核	guo3'he2
果枝	guo3'zhi1
嗨哟	hai1'yo1
寒暑表	han2'shu3'biao3
悍妇	han4'fu4
横排	heng2'pai2
訇然	hong1'ran2
后坐	hou4'zuo4
厚墩墩	hou4'dun1'dun1
弧圈球	hu2'quan1'qiu2
花生豆儿	hua1'sheng1'dou4'er
滑润	hua2'run4
灰浆	hui1'jiang1
灰色收入	hui1'se4'shou1'ru4
回撤	hui2'che4
回单	hui2'dan1
回请	hui2'qing3
会通	hui4'tong1
