车棚	che1'peng2
赤贫	chi4'pin2
赤足	chi4'zu2
充军	chong1'jun1
出道	chu1'dao4
打抱不平	da3'bao4'bu4'ping2
大家伙儿	da4'jia1'huo'er2
大路货	da4'lu4'huo4
当令	dang1'ling4
灯节	deng1'jie2
滴答	di1'da
顶梁柱	ding3'liang2'zhu4
对歌	dui4'ge1
恩宠	en1'chong3
法事	fa3'shi4
浮光掠影	fu2'guang1'lve4'ying3
父业	fu4'ye4
复职	fu4'zhi2
副产品	fu4'chan3'pin3
公愤	gong1'fen4
功利主义	gong1'li4'zhu3'yi4
共话	gong4'hua4
勾兑	gou1'dui4
勾心斗角	gou1'xin1'dou4'jiao3
苟安	gou3'an1
苟同	gou3'tong2
古画	gu3'hua4
鳜鱼	gui4'yu2
皓月	hao4'yue4
黑话	hei1'hua4
划艇	hua2'ting3
欢畅	huan1'chang4
