消蚀	xiao1'shi2
小报告	xiao3'bao4'gao4
小影	xiao3'ying3
校官	xiao4'guan1
薪给	xin1'ji3
行抢	xing2'qiang3
熊罴	xiong2'pi2
羞人	xiu1'ren2
虚悬	xu1'xuan2
叙别	xu4'bie2
蓄发	xu4'fa1
悬想	xuan2'xiang3
旋转餐厅	xuan2'zhuan3'can1'ting1
学究气	xue2'jiu1'qi4
雪恨	xue3'hen4
巡弋	xun2'yi4
严肃音乐	yan2'su4'yin1'yue4
仰承	yang3'cheng2
养廉	yang3'lian2
夜阑	ye4'lan2
一时半刻	yi1'shi2'ban4'ke4
一字千金	yi1'zi4'qian1'jin1
贻患	yi2'huan4
义齿	yi4'chi3
艺妓	yi4'ji4
音变	yin1'bian4
音乐茶座	yin1'yue4'cha2'zuo4
银杉	yin2'sha1
印刻	yin4'ke4
萦怀	ying2'huai2
影帝	ying3'di4
幽冥	you1'ming2
邮亭	you2'ting2
油乎乎	you2'hu1'hu1
有门儿	you3'men2'er
预决算	yu4'jue2'suan4
援用	yuan2'yong4
月钱	yue4'qian
云消雾散	yun2'xiao1'wu4'san4
云蒸霞蔚	yun2'zheng1'xia2'wei4
蕴意	yun4'yi4
脏活儿	zang1'huo2'er2
藏香	zang4'xiang1
宅地	zhai2'di4
掌嘴	zhang3'zui3
照墙	zhao4'qiang2
争战	zheng1'zhan4
正骨	zheng4'gu3
脂肪瘤	zhi1'fang2'liu2
直尺	zhi2'chi3
炙热	zhi4're4
掷弹筒	zhi4'dan4'tong3
中频	zhong1'pin2
重荷	zhong4'he2
重听	zhong4'ting1
珠宝商	zhu1'bao3'shang1
主裁	zhu3'cai2
装傻充愣	zhuang1'sha3'chong1'leng4
趑趄	zi1'ju1
子堤	zi3'di1
自己人	zi4'ji3'ren2
字母表	zi4'mu3'biao3
总合	zong3'he2
租约	zu1'yue1
左袒	zuo3'tan3
坐班房	zuo4'ban1'fang2
暗扣儿	an4'kou4'er2
奥援	ao4'yuan2
跋文	ba2'wen2
把舵	ba3'duo4
拜官	bai4'guan1
板脸	ban3'lian3
板油	ban3'you2
板滞	ban3'zhi4
饱胀	bao3'zhang4
宝贝疙瘩	bao3'bei4'ge1'da
备置	bei4'zhi4
比翼鸟	bi3'yi4'niao3
笔底下	bi3'di3'xia
笔译	bi3'yi4
