有轨电车	you3'gui3'dian4'che1
有头有脸	you3'tou2'you3'lian3
余兴	yu2'xing4
渔翁	yu2'weng1
原主	yuan2'zhu3
载誉	zai4'yu4
早班	zao3'ban1
责任编辑	ze2'ren4'bian1'ji2
轧制	ya4'zhi4
照明弹	zhao4'ming2'dan4
蛰居	zhe2'ju1
诤友	zheng4'you3
政论家	zheng4'lun4'jia1
指示灯	zhi3'shi4'deng1
骤变	zhou4'bian4
铸币	zhu4'bi4
转赠	zhuan3'zeng4
装设	zhuang1'she4
追讨	zhui1'tao3
自外	zi4'wai4
醉生梦死	zui4'sheng1'meng4'si3
座子	zuo4'zi3
挨整	ai2'zheng3
安乐窝	an1'le4'wo1
暗道	an4'dao4
暗含	an4'han2
保底	bao3'di3
报人	bao4'ren2
备办	bei4'ban4
备查	bei4'cha2
笨手笨脚	ben4'shou3'ben4'jiao3
壁橱	bi4'chu2
便池	bian4'chi2
波谷	bo1'gu3
堡子	bu3'zi
不睦	bu4'mu4
彩塑	cai3'su4
草芥	cao3'jie4
陈说	chen2'shuo1
称病	cheng1'bing4
吃眼前亏	chi1'yan3'qian2'kui1
痴心妄想	chi1'xin1'wang4'xiang3
敕令	chi4'ling4
出言不逊	chu1'yan2'bu4'xun4
橱柜	chu2'gui4
纯然	chun2'ran2
次大陆	ci4'da4'lu4
打伞	da3'san3
大白话	da4'bai2'hua4
大副	da4'fu4
大忙人	da4'mang2'ren2
大印	da4'yin4
歹毒	dai3'du2
歹人	dai3'ren2
代词	dai4'ci2
低贱	di1'jian4
鼎鼎大名	ding3'ding3'da4'ming2
陡增	dou3'zeng1
对饮	dui4'yin3
发烧友	fa1'shao1'you3
翻盖	fan1'gai4
翻领	fan1'ling3
烦扰	fan2'rao3
饭票	fan4'piao4
方步	fang1'bu4
粉刺	fen3'ci4
浮冰	fu2'bing1
付之一炬	fu4'zhi1'yi1'ju4
敢作敢为	gan3'zuo4'gan3'wei2
棺椁	guan1'guo3
馆所	guan3'suo3
管材	guan3'cai2
光润	guang1'run4
归政	gui1'zheng4
诡诈	gui3'zha4
鬼才	gui3'cai2
国贼	guo2'zei2
汗液	han4'ye4
航标灯	hang2'biao1'deng1
航空港	hang2'kong1'gang3
豪强	hao2'qiang2
好自为之	hao3'zi4'wei2'zhi1
合二为一	he2'er4'wei2'yi1
忽闪	hu1'shan3
弧度	hu2'du4
护堤	hu4'di1
花茶	hua1'cha2
缓行	huan3'xing2
挥洒自如	hui1'sa3'zi4'ru2
悔不该	hui3'bu4'gai1
混纺	hun4'fang3
