豚鼠	tun2'shu3
碗柜	wan3'gui4
腕儿	wan4'er
违禁品	wei2'jin4'pin3
无亲无故	wu2'qin1'wu2'gu4
下半月	xia4'ban4'yue4
下礼拜	xia4'li3'bai4
显效	xian3'xiao4
险棋	xian3'qi2
现下	xian4'xia4
相敬如宾	xiang1'jing4'ru2'bin1
骁悍	xiao1'han4
消愁	xiao1'chou2
小睡	xiao3'shui4
兴兵	xing1'bing1
兴废	xing1'fei4
杏核	xing4'he2
雄兵	xiong2'bing1
玄奥	xuan2'ao4
悬垂	xuan2'chui2
削足适履	xue1'zu2'shi4'lv3
严令	yan2'ling4
研修生	yan2'xiu1'sheng1
眼眶子	yan3'kuang4'zi3
摇篮曲	yao2'lan2'qu3
杳无音讯	yao3'wu2'yin1'xun4
爷儿	ye2'er
一面之词	yi1'mian4'zhi1'ci2
椅垫	yi3'dian4
荫蔽	yin1'bi4
莺歌燕舞	ying1'ge1'yan4'wu3
蝇营狗苟	ying2'ying2'gou3'gou3
应募	ying4'mu4
硬实	ying4'shi2
永生永世	yong3'sheng1'yong3'shi4
犹大	you2'da4
油垢	you2'gou4
油头粉面	you2'tou2'fen3'mian4
圆周率	yuan2'zhou1'lv4
乐理	yue4'li3
杂木	za2'mu4
赞礼	zan4'li3
啧有烦言	ze2'you3'fan2'yan2
展映	zhan3'ying4
罩衣	zhao4'yi1
折损	zhe2'sun3
针脚	zhen1'jiao
睁眼瞎	zheng1'yan3'xia1
执法犯法	zhi2'fa3'fan4'fa3
中听	zhong1'ting1
珠翠	zhu1'cui4
瞩望	zhu3'wang4
注塑	zhu4'su4
椎骨	zhui1'gu3
椎间盘	zhui1'jian1'pan2
拙作	zhuo1'zuo4
卓识	zhuo2'shi2
自高自大	zi4'gao1'zi4'da4
阻抗	zu3'kang4
作兴	zuo4'xing1
