案牍	an4'du2
蹿跳	cuan1'tiao4
窜改	cuan4'gai3
错漏	cuo4'lou4
搭架子	da1'jia4'zi3
打夯	da3'hang1
打呼	da3'hu1
打老虎	da3'lao3'hu3
大礼服	da4'li3'fu2
呆痴	dai1'chi1
代办处	dai4'ban4'chu3
待考	dai4'kao3
丹砂	dan1'sha1
单轨	dan1'gui3
单过	dan1'guo4
单另	dan1'ling4
单挑	dan1'tiao1
蛋卷儿	dan4'juan3'er2
当不起	dang1'bu4'qi3
党证	dang3'zheng4
导轨	dao3'gui3
导航员	dao3'hang2'yuan2
倒换	dao3'huan4
倒替	dao3'ti4
倒锁	dao3'suo3
等米下锅	deng3'mi3'xia4'guo1
抵近	di3'jin4
底襟	di3'jin1
典型化	dian3'xing2'hua4
电热器	dian4're4'qi4
电示	dian4'shi4
电影厅	dian4'ying3'ting1
刁滑	diao1'hua2
凋残	diao1'can2
钉耙	ding1'pa2
冬储	dong1'chu3
冻肉	dong4'rou4
豆蔻	dou4'kou4
独门独院	du2'men2'du2'yuan4
独女	du2'nv3
队日	dui4'ri4
恶疾	e4'ji2
儿童村	er2'tong2'cun1
二手货	er4'shou3'huo4
放话	fang4'hua4
肥差	fei2'chai1
分肥	fen1'fei2
风雨如晦	feng1'yu3'ru2'hui4
俯首帖耳	fu3'shou3'tie1'er3
复业	fu4'ye4
腹诽	fu4'fei3
甘雨	gan1'yu3
感光度	gan3'guang1'du4
钢渣	gang1'zha1
高岭土	gao1'ling3'tu3
高山病	gao1'shan1'bing4
槁木	gao3'mu4
蛤蚧	ge2'jie4
工细	gong1'xi4
关厢	guan1'xiang1
灌制	guan4'zhi4
滚沸	gun3'fei4
国色	guo2'se4
海菜	hai3'cai4
海况	hai3'kuang4
汗腺	han4'xian4
旱獭	han4'ta3
